class name,description,
African Grey Parrot,"The African Grey Parrot is a medium-sized bird with striking gray feathers and a vibrant red tail. It has a rounded head, a strong, curved beak, and expressive eyes. Its plumage is soft and sleek, often showing subtle variations in gray shades. Known for their intelligence and vocal abilities, these parrots have a lively demeanor, making them both captivating and engaging companions.",
Albatross,"The albatross is a large seabird with a wingspan that can exceed 10 feet, making it one of the largest flying birds. It has a robust body, long, slender wings, and a distinctive hooked beak. Plumage varies by species, typically featuring white, gray, or black feathers. Albatrosses have striking facial features, with large eyes and a characteristic nasal structure, allowing them to efficiently glide over the ocean for long distances.",
American Avocet,"The American Avocet is a striking wading bird with long, slender legs and a distinctive upward-curved bill. Its plumage features a combination of white, black, and reddish-brown, with a striking black cap on its head. During breeding season, its chest displays a warm reddish hue. The avocet's elegant profile and graceful movements make it a captivating sight in wetlands and shorelines, where it forages for invertebrates.",
American Bittern,"The American Bittern is a large, stocky heron with a mottled brown and tan plumage that provides excellent camouflage in marshes. It has a long neck and a stout body, standing about 2 to 3 feet tall. Its distinctive yellowish eyes and sharp, pointed bill add to its striking appearance. When threatened, it often freezes in place, blending seamlessly with the reeds and grasses of its wetland habitat.",
American Coot,"The American Coot is a medium-sized, chicken-like bird with a stout body and a distinctive white bill and frontal shield. Its plumage is mostly dark gray to black, with a lighter gray undertail. Coots have red eyes and strong, lobed feet, which aid in swimming. Their compact shape and unique swimming style make them easily recognizable in freshwater habitats, where they often forage for aquatic vegetation.",
American Crow,"The American Crow is a medium-sized bird with all-black plumage that has a glossy sheen. It features a stout, straight bill and a rounded tail with long feathers. Its eyes are dark, and its legs are strong, suited for walking and hopping. Crows have a robust body and a distinctive cawing call. They are often seen in various habitats, including urban areas, forests, and fields, showcasing their adaptability.",
American Goldfinch,"The American Goldfinch is a small, vibrant songbird known for its bright yellow plumage, especially in males during the breeding season. They have black wings and a distinctive black cap on their heads. Females and non-breeding males are more subdued, featuring olive-brown and yellow tones. Their slender bodies and conical bills are adapted for seed-eating, while their cheerful, melodic song adds to their charm in gardens and open fields.",
American Kestrel,"The American Kestrel is a small falcon with striking plumage. Males have a blue-gray head and wings, a rusty-orange back, and a distinctive black facial mask. Their underparts are white with brown spots. Females are more brown and streaked overall, lacking the vivid colors of males. Both sexes have long, pointed wings and a tail with black and white bands, making them agile hunters in open fields and grasslands.",
American Robin,"The American Robin is a medium-sized bird with a round body and a distinctive orange-red breast. Its back is a warm brown, and it has a grayish-blue head and wings. The robin features a yellow bill and white eye crescents, giving it a cheerful appearance. Commonly found in gardens and open fields, its melodic song adds to its charm, especially during springtime.",
American Wigeon,"The American Wigeon is a medium-sized dabbling duck characterized by its striking coloration. Males have a distinctive greenish head with a white crown and a chestnut-brown breast. Their body is grayish, and they feature a pale blue bill. Females are mottled brown with a lighter face and a dark cap. Both sexes have a white patch on their wings, visible in flight. These ducks are often seen in wetlands and marshes.",
Andean Condor,"The Andean Condor is a massive bird with a wingspan reaching up to 10 feet, making it one of the largest flying birds. It has a predominantly black body with striking white wing patches and a distinctive white collar of feathers around its neck. Males possess a prominent fleshy comb on their heads. Its powerful beak is adapted for scavenging, and it has a rugged, robust appearance suited for high-altitude habitats.",
Anna's Hummingbird,"Anna's Hummingbird is a small, vibrant bird known for its stunning iridescent plumage. Males display a bright emerald green back and a striking rose-red crown and throat, while females are more subdued with green and gray tones. Both sexes have a slender body and a long, tapered tail. Their quick, hovering flight and rapid wing beats add to their charm, making them a delightful sight in gardens and coastal areas of the West Coast.",
Arctic Tern,"The Arctic Tern is a slender, medium-sized seabird known for its striking plumage. It has a white body with a grayish back and a distinctive black cap on its head. Its long, pointed wings and forked tail enhance its graceful flight. During breeding season, the tern showcases a bright red bill and legs. These birds are renowned for their remarkable migratory journey, traveling between polar regions and warmer coastal areas.",
Atlantic Puffin,"The Atlantic Puffin is a charming seabird with a distinctive appearance. It has a stout, black back and white face, complemented by bright orange-red feet and a colorful, triangular bill that features a striking combination of orange, yellow, and blue. Puffins have a rounded body and short wings, making them excellent divers. Their large, expressive eyes and comical demeanor add to their appeal, especially when nesting along coastal cliffs.",
Bald Eagle,"The Bald Eagle is a large bird of prey known for its striking appearance. It features a dark brown body and wings, contrasted by a bright white head and tail. Its powerful yellow beak is hooked, ideal for catching fish. With keen, piercing yellow eyes, it exudes a commanding presence. Bald Eagles are often seen soaring majestically over lakes and rivers, symbolizing strength and freedom in North America.",
Bananaquit,"The Bananaquit is a small, lively bird with a distinctive appearance. It has a mostly yellow underbelly, a black crown, and white wing bars. Its back is a grayish color, and it features a slender, curved bill well-suited for feeding on nectar. The Bananaquit often displays a curious demeanor, flitting around flowers and gardens, making it a charming sight in tropical and subtropical regions of the Americas.",
Barn Owl,"The Barn Owl is a medium-sized owl known for its striking heart-shaped face and large, dark eyes. Its plumage is a mix of pale buff and white, with a mottled appearance, providing excellent camouflage. The underside is mostly white, while the wings are long and broad, enabling silent flight. With its distinctive facial disc and ghostly appearance, the Barn Owl is often seen gliding silently over fields at dusk.",
Barn Swallow,"The Barn Swallow is a small, agile bird with a streamlined body and long, forked tail. Its upper plumage is a glossy blue-black, while the underparts are a warm, chestnut color. The bird features a distinctive reddish throat and a white spot on its forehead. Known for its graceful flight, the Barn Swallow often swoops low over fields and water, catching insects in mid-air, making it a familiar sight in rural areas.",
Barred Owl,"The Barred Owl is a medium to large owl characterized by its round face and dark brown eyes. Its plumage is mottled with a mix of brown and white, featuring distinctive horizontal bars on its chest and vertical streaks on its belly. The owl has a short, rounded head and a relatively small beak. With its silent flight and low, hooting call, the Barred Owl is often found in dense woodlands across North America.",
Black Skimmer,"The Black Skimmer is a distinctive shorebird known for its unique bill, which features a long, straight upper mandible and a much longer, lower mandible, ideal for skimming the water's surface. It has a slender, black back and white underparts, with striking orange-red legs and a matching bill. Its large, pointed wings enable graceful flight, and its bold, black cap adds to its striking appearance, making it easily recognizable along coastlines and estuaries.",
Black Tern,"The Black Tern is a small, elegant bird with a slender body and pointed wings. During breeding season, it showcases striking dark gray to black plumage on its head and upper body, contrasting with a white belly. Its bill is slender and pointed, ideal for catching insects over water. Outside of breeding season, the plumage becomes more mottled and gray. Known for its agile flight, the Black Tern is often seen near wetlands and lakes.",
Black Vulture,"The Black Vulture is a large scavenging bird with a robust body and a wingspan of about 5.5 feet. Its plumage is predominantly dark black, with a slightly iridescent sheen. It has a bare, grayish-black head and neck, which helps keep it clean while feeding. The vulture's broad wings are long and rounded, and it has a distinctive short tail. Its keen eyesight makes it adept at locating carrion from the skies.",
Black-and-white Warbler,"The Black-and-white Warbler is a small songbird with a distinctive striped appearance. It features bold black and white streaks on its back, head, and wings, while its underparts are predominantly white with subtle streaking. This warbler has a slender body, a long tail, and a short, straight bill. Often seen foraging on tree trunks and branches, its striking coloration makes it a unique and easily recognizable bird in its forested habitat.",
Black-capped Chickadee,"The Black-capped Chickadee is a small, lively bird characterized by its distinctive black cap and bib, which contrast with its white cheeks. Its back is a soft gray, and its underparts are predominantly white with a hint of buff. This cheerful bird has a short, sturdy bill and a long tail, enabling agile movements among branches. Known for its curious nature and sweet song, the Black-capped Chickadee is a familiar sight in woodlands and backyards.",
Black-headed Gull,"The Black-headed Gull is a medium-sized gull with a striking appearance. In breeding plumage, it features a dark chocolate-brown head, contrasting with its white body and wings. It has a slender, pointed bill and short, stout legs. During winter, the head becomes speckled with white. The gull's gray wings have black tips, and it displays a distinctive black mark at the tip of its bill, making it easily recognizable in coastal and inland areas.",
Blackburnian Warbler,"The Blackburnian Warbler is a small, vibrant songbird known for its striking coloration. Males display bright orange throats and underparts, contrasted by dark olive-green backs and wings. They have distinct white wing bars and a bold black cap. Females are more subdued, with yellowish underparts and olive tones. This warbler's slender body and long, pointed bill make it adept at foraging among leaves, often found in coniferous and mixed forests during migration.",
Blue Jay,"The Blue Jay is a striking medium-sized bird with vibrant blue plumage, accented by black and white markings. Its head features a prominent crest and a distinctive black necklace around the throat. The wings and tail are bright blue with white and black bars, adding to its colorful appearance. Known for its intelligence and complex calls, the Blue Jay is often found in woodlands, parks, and suburban areas, frequently foraging for acorns and seeds.",
Blue Tit,"The Blue Tit is a small, colorful songbird with a vibrant appearance. It has a blue crown and wings, a yellow belly, and olive-green back. Its face features a distinctive white cheek patch and a black line running through the eye. The Blue Tit's short, pointed bill is perfect for foraging insects and seeds. This lively bird is often seen flitting among branches in gardens and woodlands across Europe and parts of Asia.",
